id,name__en,name__fr,name__zh,name,wikipedia__en,wikipedia__zh,gender,birth_date,given_name,website,facebook,original_wikiname,name__es,name__nl,name__de,name__ru,name__hu,identifier__freebase,family_name,twitter,name__nb,name__da,name__nn,name__sv,name__it,wikipedia__de,image,identifier__VIAF,identifier__FAST,wikipedia__it,name__zh_hant,name__zh_cn,name__ja,wikipedia__fr,death_date,name__en_gb,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__NLA,identifier__NLAtrove,name__pl,wikipedia__pl,name__pt,name__wuu,name__yue,name__tl,wikipedia__no,wikipedia__pt,wikipedia__tl,wikipedia__wuu,wikipedia__zh_yue,identifier__Britannica,name__id,name__uk,name__si,name__vi,name__fa,name__he,name__bn,name__ar,name__la,name__ca,wikipedia__ar,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__es,wikipedia__fa,wikipedia__he,wikipedia__id,wikipedia__la,wikipedia__ru,wikipedia__simple,wikipedia__si,wikipedia__uk,wikipedia__vi,identifier__NNDB,name__en_ca,name__nds,identifier__BNF,identifier__SUDOC,identifier__CANTIC,name__zh_hans,name__zh_hk,wikipedia__sv,name__sq,wikipedia__sq,name__ro,name__cy,name__zh_sg,name__zh_tw,name__ko,wikipedia__enwikiquote,wikipedia__ja,wikipedia__ko,name__eo,wikipedia__enwikinews,wikipedia__eo,name__af,name__an,name__br,name__bs,name__ceb,name__cs,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__is,name__lb,name__lmo,name__lt,name__nds_nl,name__pms,name__sk,name__sl,name__tr,name__vec,name__wa,name__gsw,name__mg,wikipedia__mg,identifier__NDL,identifier__NTA,identifier__NUKAT,wikipedia__fi,wikipedia__nl,identifier__IMDB,identifier__Munzinger,identifier__CSPAN,name__sr,name__sh,wikipedia__sh,wikipedia__sr,name__mr,name__de_ch,name__el,name__pt_br,name__ta,name__ms,name__be_tarask,name__fo,name__kl,name__sco,name__ne,name__be,name__ur,name__min,name__mn,name__hi,name__bg,name__io,name__th,name__hy,name__mk,name__lv,name__yi,name__ka,name__ckb,name__hif,wikipedia__af,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ckb,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__hif,wikipedia__hi,wikipedia__hiwikiquote,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__io,wikipedia__itwikiquote,wikipedia__ka,wikipedia__lt,wikipedia__lv,wikipedia__min,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__plwikiquote,wikipedia__ro,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tr,wikipedia__ur,wikipedia__yi,honorific_prefix,identifier__OLID,identifier__wikitree,identifier__GTAA,identifier__AuDB,name__qu,name__uz,name__vo,name__oc,name__bi,name__hak,name__rm,name__nan,name__arz,name__ug,name__yo,name__ml,name__ht,name__ku,name__war,name__tpi,name__kn,wikipedia__arz,wikipedia__bi,wikipedia__br,wikipedia__ceb,wikipedia__cswikiquote,wikipedia__cy,wikipedia__enwikisource,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__ht,wikipedia__kn,wikipedia__ku,wikipedia__ml,wikipedia__oc,wikipedia__qu,wikipedia__rm,wikipedia__sk,wikipedia__tpi,wikipedia__ug,wikipedia__uz,wikipedia__vo,wikipedia__war,wikipedia__yo,wikipedia__zh_min_nan,identifier__TED,name__gv,wikipedia__gv,wikipedia__gl,name__jv,wikipedia__dewikiquote,wikipedia__is,wikipedia__jv,wikipedia__lb,wikipedia__nowikiquote,wikipedia__svwikinews,wikipedia__ukwikiquote,name__ast,wikipedia__ast,identifier__MusicBrainz,identifier__discogs,instagram,linkedin,identifier__google_plus,name__bar,name__co,name__fur,name__gd,name__li,name__lij,name__nap,name__pcd,name__sc,name__scn,name__vls,identifier__ULAN,name__de_at,name__frp,name__ia,name__ie,name__kg,name__nrm,name__sr_el,name__sw,name__wo,name__zu,name__sm,wikipedia__ie,wikipedia__mk,wikipedia__sm,name__szl,name__bcl,name__my,name__az,name__vep,name__ksh,name__nah,name__mwl,wikipedia__az,wikipedia__bcl,wikipedia__gd,wikipedia__ksh,wikipedia__mwl,wikipedia__my,wikipedia__nah,wikipedia__nds,wikipedia__nn,wikipedia__sw,wikipedia__szl,wikipedia__trwikiquote,wikipedia__vep,identifier__ATP,identifier__ITF,identifier__NLI
Q1070523,Cheryl Kernot,Cheryl Kernot,,Cheryl Kernot,Cheryl Kernot,,female,1948-12-05,Cheryl,,,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,,Cheryl Kernot,,,,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,Cheryl Kernot,,Cheryl Kernot,,73485014,,,,,,,,,0000 0000 6405 7226,,,35201264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1077015,Chris Bowen,Chris Bowen,克理斯·宝文,Chris Bowen,Chris Bowen,克理斯·宝文,male,1973-01-17,Chris,,,Chris Bowen,Chris Bowen,Chris Bowen,Chris Bowen,Крис Бауэн,Chris Bowen,/m/0430dg,Bowen,,Chris Bowen,,Chris Bowen,,,Chris Bowen,https://upload.wikimedia.org/wikipedia/commons/e/e3/Chris_Bowen.JPG,,,,,,クリス・ボウエン,,,,,,,,,Chris Bowen,Chris Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11701393,Greg Combet,Greg Combet,,Greg Combet,Greg Combet,,male,1958-04-28,Greg,,,Greg Combet,Greg Combet,Greg Combet,Greg Combet,,Greg Combet,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Greg_Combet_profile.jpg,,,,葛利格·克姆位元,葛利格·克姆比特,,,,,,,,,1471849,Greg Combet,Greg Combet,,,,,,,,,,,,,,,,,,,,,,,,Category:Greg Combet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1236571,Wayne Swan,Wayne Swan,韦恩·斯万,Wayne Swan,Wayne Swan,韦恩·斯旺,male,1954-06-30,Wayne,,,Wayne Swan,Wayne Swan,Wayne Swan,Wayne Swan,,Wayne Swan,/m/02vzl6,,,Wayne Swan,Wayne Swan,Wayne Swan,Wayne Swan,,Wayne Swan,https://upload.wikimedia.org/wikipedia/commons/b/b7/WayneSwan.jpg,65882688,1793839,,,,,Wayne Swan,,,,,n2005074024,,,Wayne Swan,Wayne Swan,,,,Wayne Swan,,,Wayne Swan,,,,,,,,,,,,,,,,,,Wayne Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OL1449028A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1239291,Alexander Downer,Alexander Downer,亞歷山大·唐納,Alexander Downer,Alexander Downer,亞歷山大·唐納,male,1951-09-09,Alexander,,,Alexander Downer,Alexander Downer,Alexander Downer,Alexander Downer,,Alexander Downer,/m/01wy12,,,,,,,,Alexander Downer,https://upload.wikimedia.org/wikipedia/commons/8/8b/AlexanderDowner.jpg,294391653,480563,,,,アレクサンダー・ダウナー,Alexander Downer,,,,,nb2002054806,,,Alexander Downer,Alexander Downer,Alexander Downer,,,,,,,,,biography/Alexander-John-Gosse-Downer,Alexander Downer,Олександр Доунер,,,,,,,,,,,,Alexander Downer,Alexander Downer,,,Alexander Downer,,,,,Олександр Доунер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Downer,,,,,,,,,,,,,,,,,,,,,Alexander Downer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1281683,John Alexander,John Alexander,約翰·亞歷山大,John Alexander,John Alexander (Australian politician),約翰·亞歷山大,male,1951-07-04,John,http://johnalexander.net.au/,John.Alexander.MP,John Alexander (tennis),John Alexander,John Alexander,John Alexander,Джон Александр,John Alexander,/m/066rzr,Alexander,JohnAlexanderMP,John Alexander,John Alexander,John Alexander,John Alexander,John Alexander,John Alexander (Tennisspieler),https://upload.wikimedia.org/wikipedia/commons/1/1f/John_Alexander.jpg,288750435,,John Alexander,,,ジョン・アレクサンダー,John Alexander,,,0000 0003 9431 5267,,n82158512,,,John Alexander,John Alexander,John Alexander,,,,,John Alexander,,,,,,,,,,,,جون ألكسندر,,,جون ألكسندر (سياسي أسترالي),,,Category:John Alexander,John Alexander,,,,,,,,,,,,,12023346q,074163183,,,,John Alexander,,,,,,,,,ジョン・アレクサンダー (テニス選手),,,,,,,,,,,,John Alexander,John Alexander,,,,,,,,,,,,,,,,,,,069018790,,,,,,,,John Alexander,John Alexander (tenis),,,,,,,,,,,,,,,,,,,,,Ջոն Ալեքսանդր,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A014,10002216,000008454
Q1376420,Stephen Smith,Stephen Smith,,Stephen Smith,Stephen Smith (Australian politician),,male,1955-12-12,Stephen,,,Stephen Smith (Australian politician),Stephen Smith,Stephen Smith,Stephen Smith,Стивен Смит,Stephen Smith,/m/02vyy_,Smith,,Stephen Smith,Stephen Smith,Stephen Smith,Stephen Smith,,Stephen Smith (Politiker),https://upload.wikimedia.org/wikipedia/commons/7/7e/Stephen_Smith.jpg,107033581,,,,,ステファン・スミス,Stephen Smith (Australie),,,0000 0000 7704 4395,,,,,Stephen Smith,Stephen Smith (polityk),Stephen Smith,,,,,Stephen Smith,,,,,,,,,,,,,,,,,,Category:Stephen Francis Smith,Stephen Smith,,,,,,,,,,858/000196270,,,,087793121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07280761X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1400580,Simon Crean,Simon Crean,西蒙·克林,Simon Crean,Simon Crean,西蒙·克林,male,1949-02-26,Simon,,,Simon Crean,Simon Crean,Simon Crean,Simon Crean,,Simon Crean,/m/018f07,,,Simon Crean,Simon Crean,Simon Crean,Simon Crean,Simon Crean,Simon Crean,https://upload.wikimedia.org/wikipedia/commons/2/2f/Simon_Crean_(1).jpg,193992541,,Simon Crean,,,サイモン・クリーン,,,,,171161106,,,,Simon Crean,Simon Crean,Simon Crean,Simon Crean,西蒙堅尼,Simon Crean,Simon Crean,Simon Crean,Simon Crean,Simon Crean,西蒙堅尼,biography/Simon-Crean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1449483,Tony Burke,Tony Burke,托尼·伯克,Tony Burke,Tony Burke,托尼·伯克,male,1969-11-04,Tony,,,Tony Burke,Tony Burke,Tony Burke,Tony Burke,,Tony Burke,,,,Tony Burke,Tony Burke,Tony Burke,Tony Burke,,Tony Burke,https://upload.wikimedia.org/wikipedia/commons/3/30/Tony_Burke_Portrait_2008.jpg,,,,,,,,,,,,,,1471942,Tony Burke,Tony Burke,,,,,,,,,,,,,,,,,,,,,,,,Category:Tony Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1466753,John Dawkins,John Dawkins,,John Dawkins,John Dawkins,,male,1947-03-02,John,,,John Dawkins,John Dawkins,John Dawkins,John Dawkins,,John Dawkins,,,,John Dawkins,John Dawkins,John Dawkins,John Dawkins,,John Dawkins,https://upload.wikimedia.org/wikipedia/commons/4/4b/John-Dawkins-1984.jpg,261344258,379047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
