id,name,sortname,image,party,birth_date,constituency,term,start_date,end_date,source
6990,Bojan Glavašević,"Glavašević, Bojan","",SDP,1984-07-26,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6990
6992,Nenad Stazić,"Stazić, Nenad","",SDP,1957-07-13,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6992
6994,Mirando Mrsić,"Mrsić, Mirando","",SDP,1959-10-14,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6994
6996,Ana Komparić Devčić,"Komparić Devčić, Ana","","",1976-04-18,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6996
6998,Tomislav Žagar,"Žagar, Tomislav","",SDP,1969-12-10,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6998
7000,Marin Škibola,"Škibola, Marin","",Human Blockade,1991-12-14,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7000
7002,Zdravko Ronko,"Ronko, Zdravko","",SDP,1949-09-10,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7002
7004,Andro Krstulović Opara,"Krstulović Opara, Andro","",HDZ,1967-05-22,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7004
7006,Ante Sanader,"Sanader, Ante","",HDZ,1960-05-17,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7006
7008,Branko Grčić,"Grčić, Branko","",SDP,1964-04-16,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7008
7010,Vesna Pusić,"Pusić, Vesna","",HNS,1953-03-25,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7010
7012,Domagoj Hajduković,"Hajduković, Domagoj","",SDP,1981-06-04,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7012
7014,Silvano Hrelja,"Hrelja, Silvano","",HSU,1958-03-14,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7014
7016,Marta Luc-Polanc,"Luc-Polanc, Marta","",SDP,1977-08-17,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7016
