id,name__sh,name__en,name__sr_el,name__sr_ec,name__hr,name__es,name__sr,name__pl,name__fr,name__de,name__nl,name__hu,name__ja,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__hr,wikipedia__pl,wikipedia__sh,wikipedia__sr,image,gender,occupation,identifier__VIAF,birth_date,identifier__freebase,given_name,original_wikiname,name__sv,wikipedia__sv,identifier__EuroparlMEP,name__ru,name__uk,name__cs,name__et,wikipedia__cs,wikipedia__et,wikipedia__ru,wikipedia__uk,name__fi,name__zh,wikipedia__fi,identifier__PACE,name__it,name__nb,name__da,name__nn,wikipedia__hrwikiquote,wikipedia__it,name__sl,name__ie,name__tw,wikipedia__commons,wikipedia__ie,wikipedia__sl,wikipedia__tw,wikipedia__zh,identifier__GND,website,identifier__LCAuth,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sq,name__tr,name__vec,name__vls,name__wa,identifier__SUDOC,identifier__FAST,name__zh_hans,name__fa,name__bm,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__ia,name__id,name__io,name__jam,name__kab,name__kg,name__lv,name__mg,name__min,name__ms,name__nrm,name__oc,name__pap,name__prg,name__pt_br,name__rgn,name__sw,name__vi,name__vmf,name__vo,name__wo,name__zu,wikipedia__fa,family_name,name__be,wikipedia__be,name__ar,name__el,name__he,name__la,name__hy,wikipedia__ar,wikipedia__cswikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__no,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__vi,identifier__Munzinger,death_date,name__mk,wikipedia__bg,identifier__ISNI,name__bg,wikipedia__nl,identifier__parlement,name__ku,wikipedia__ku,wikipedia__bswikiquote,wikipedia__ca,wikipedia__hrwikisource,wikipedia__bs,wikipedia__ja,wikipedia__enwikiquote,name__nan,name__ko,name__yo,name__mn,name__be_tarask,name__ka,wikipedia__be_x_old,wikipedia__da,wikipedia__eu,wikipedia__gl,wikipedia__io,wikipedia__ka,wikipedia__ko,wikipedia__mn,wikipedia__oc,wikipedia__sk,wikipedia__sq,wikipedia__yo,wikipedia__zh_min_nan,identifier__Britannica,name__zh_hant,name__zh_cn,wikipedia__srwikiquote,identifier__IMDB,identifier__NUKAT,facebook,name__bn,wikipedia__bn,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__nn,identifier__IIAF,twitter,name__uz,identifier__BNF,identifier__NKC,identifier__NLP
Q10853815,Mirando Mrsić,Mirando Mrsić,,,Mirando Mrsić,,,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,,,,Mirando Mrsić,,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,,https://upload.wikimedia.org/wikipedia/commons/d/d9/M_mrsic.jpg,male,politician,,1959-10-14,,Mirando,Mirando Mrsić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11074254,Biljana Borzan,Biljana Borzan,,,Biljana Borzan,,,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,,,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,,,female,politician,,1971-11-29,,Biljana,Biljana Borzan,,,112748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biljana Borzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11143940,Tihomir Jakovina,Tihomir Jakovina,,,,,,,,,,,,Tihomir Jakovina,,,,,,Tihomir Jakovina,,,male,,,,,Tihomir,Tihomir Jakovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11655642,Nikola Vuljanić,Nikola Vuljanić,,,Nikola Vuljanić,,,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,,,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,,,male,politician,305507390,1949-06-25,/m/0w5y73s,Nikola,Nikola Vuljanić,,,112760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685764,Andrej Plenković,Andrej Plenković,,,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,アンドレイ・,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,https://upload.wikimedia.org/wikipedia/commons/9/94/Andrej_Plenković_2015_(cropped).jpg,male,politician,305511197,1970-04-08,,Andrej,Andrej Plenković,Andrej Plenković,Andrej Plenković,112755,"Пленкович, Андрей",Андрей Пленкович,Andrej Plenković,,,,"Пленкович, Андрей",Андрей Пленкович,,安德烈·普蘭科維奇,,,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,,Andrej Plenković,,,,Category:Andrej Plenković,,,,安德烈·普蘭科維奇,1116815389,,,,,,,,,,,,,,,,,Andrej Plenković,,,,,,,,,,,,,Andrej Plenković,,,,,,Andrej Plenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrej Plenković,,,,,,,,,,,,أندريه بلينكوفيتش,,,Andreas Plenković,,أندريه بلينكوفيتش,,,,Andrej Plenković,,Andrej Plenković,,,Andreas Plenković,,,,,,,,,,Андреј Пленковиќ,Андрей Пленкович,0000 0004 2095 9673,Андрей Пленкович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254068,Damir Kajin,Damir Kajin,,,Damir Kajin,,,Damir Kajin,Damir Kajin,Damir Kajin,Damir Kajin,,,Damir Kajin,,Damir Kajin,,Damir Kajin,Damir Kajin,Damir Kajin,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Josipovic_Pusic_Kajin.jpg,male,politician,,1962-02-03,/m/058x23x,Damir,Damir Kajin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1256382,Petar Čobanković,Petar Čobanković,,,Petar Čobanković,,,Petar Čobanković,,,Petar Čobanković,,,Petar Čobanković,,Petar Čobanković,,Petar Čobanković,Petar Čobanković,Petar Čobanković,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Petar_Čobanković_25-06-09.jpg,male,,,1957-01-29,,Petar,Petar Čobanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1256837,Dragutin Lesar,Dragutin Lesar,,,Dragutin Lesar,,Драгутин Лесар,Dragutin Lesar,Dragutin Lesar,Dragutin Lesar,Dragutin Lesar,,,Dragutin Lesar,,Dragutin Lesar,,Dragutin Lesar,Dragutin Lesar,Dragutin Lesar,Драгутин Лесар,,male,politician,,1956-03-04,/m/0hgnfbl,Dragutin,Драгутин Лесар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1260118,Ruža Tomašić,Ruža Tomašić,,,Ruža Tomašić,,,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,,,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,,https://upload.wikimedia.org/wikipedia/commons/6/65/Croatian_part-_Citizens’_Corner_debate_on_EU_policies_for_asylum_seekers_and_immigrants_(18432278524)_(cropped).jpg,female,politician,,1958-05-10,/m/0gmcml3,,Ruža Tomašić,,,119431,,Ружа Томашич,,,,,,Ружа Томашич,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1261965,Mirela Holy,Mirela Holy,Mirela Holi,Мирела Холи,Mirela Holy,Mirela Holy,Мирела Холи,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,ミレラ・ホリー,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,Мирела Холи,https://upload.wikimedia.org/wikipedia/commons/b/b0/M_holy.jpg,female,politician,305618495,1971-12-15,/m/0hrdg6g,Mirela,Мирела Холи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
