id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
e09352ec-d388-43bd-a136-37f63e8b7072,Ana Komparić Devčić,Ana Komparić Devčić,,,,unknown,unknown,area/8th,8th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=19586,female
3284a7c6-add4-462b-941c-5bc0409cd077,Ana-Marija Petin,Ana-Marija Petin,,,,HSS,hss,area/4th,4th,Sabor,9,,,,
83742633-7271-41ee-b872-17924203ceab,Andro Krstulović Opara,Andro Krstulović Opara,,,,HDZ,hdz,area/10th,10th,Sabor,9,,,,
e5b9eaef-069b-48b5-8e91-8c4b92acdb3d,Anka Mrak-Taritaš,Anka Mrak-Taritaš,,,,HNS,hns,area/2nd,2nd,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=44647,female
e8e0430a-45a7-4fad-94d0-8bb6640d3505,Ante Sanader,Ante Sanader,,,,HDZ,hdz,area/9th,9th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=24691,male
792fce28-6ffe-40e8-bb96-93befad2ecf5,Anđelko Stričak,Anđelko Stričak,,,,HDZ,hdz,area/3rd,3rd,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=44493,male
3a598031-442b-4912-b5d4-867bc24d6916,Arsen Bauk,Arsen Bauk,,,,SDP,sdp,area/10th,10th,Sabor,9,,,,male
ceb84ba0-ebca-4155-b855-40c996c48c30,Blaženko Boban,Blaženko Boban,,,,HDZ,hdz,area/10th,10th,Sabor,9,2016-10-19,,http://www.sabor.hr/lgs.axd?t=16&id=44546,male
ef4fe9c2-9844-41c9-a2bc-2ce965a893c7,Bojan Glavašević,Bojan Glavašević,,,,SDP,sdp,area/6th,6th,Sabor,9,,,,
47cc223b-fcc3-4a56-a525-53ced82fb1b8,Boris Miletić,Boris Miletić,,,,IDS,ids,area/8th,8th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=45888,male
e08ef0b1-c403-4b36-b2cf-aadbe861a033,Boris Milošević,Boris Milošević,,,,SDSS,sdss,area/12th,12th,Sabor,9,,,,
b07f24b0-6d0e-4997-9c59-7c83ffdab89b,Branimir Bunjac,Branimir Bunjac,,,,Živi zid,Živi_zid,area/3rd,3rd,Sabor,9,,,,
21d53d0f-b633-406f-9272-7b47b9106335,Branimir Glavaš,Branimir Glavaš,,,,HDSSB,hdssb,area/4th,4th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=44550,male
f90d3094-051a-44d6-a0e3-d1f809c5522e,Branka Juričev-Martinčev,Branka Juričev-Martinčev,,,,HDZ,hdz,area/9th,9th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=19575,female
782fb17f-b4c5-48d0-a2e7-71fedc80892b,Branko Bačić,Branko Bačić,,,,HDZ,hdz,area/10th,10th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=19525,male
903924bc-73f9-40b2-97be-501a3d6c1973,Branko Grčić,Branko Grčić,,,,SDP,sdp,area/10th,10th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=44638,male
91f5a54c-8ac6-4772-a561-4634e2b27ac2,Branko Hrg,Branko Hrg,,,,HDS,hds,area/2nd,2nd,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=22156,male
a607d2ac-7473-4c86-b738-b607e7e1fc9e,Darko Milinović,Darko Milinović,,Darko_Milinovic,,HDZ,hdz,area/9th,9th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=19611,male
eb7a96ec-0c0a-4545-9b7c-a7025ab4dd2c,Darko Parić,Darko Parić,,,,SDP,sdp,area/10th,10th,Sabor,9,,,http://www.sabor.hr/lgs.axd?t=16&id=44472,male
82949bfb-e0a2-41f1-9b0d-d91e3b1f6721,Davor Miličević,Davor Miličević,,,,HDZ,hdz,area/5th,5th,Sabor,9,2016-10-20,,http://www.sabor.hr/lgs.axd?t=16&id=23897,male
