id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
b96190ac-789f-43e2-9547-0c118a977b17,Agvaanluvsangiin Undraa,Agvaanluvsangiin Undraa,,,,Mongolian People's Party,mongolian_people's_party,area/ulaanbaatar_—_bayangol,Ulaanbaatar — Bayangol,State Great Khural,2016,,,,
dc17e923-732e-4efc-b47c-124ef78e5434,Agvaansamdangiin Sükhbat,Agvaansamdangiin Sükhbat,,,,Mongolian People's Party,mongolian_people's_party,area/töv,Töv,State Great Khural,2016,,,,
4b1dc780-ee43-4d0d-80e5-53b21d6d450f,Baagaagiin Battömör,Baagaagiin Battömör,,,,Mongolian People's Party,mongolian_people's_party,area/darkhan-uul,Darkhan-Uul,State Great Khural,2016,,,,
8a23a6c6-216c-4b87-a08a-3a526ca4dcbe,Badmaanyambuugiin Bat-Erdene,Badmaanyambuu BAT-ERDENE,baterdeneb@parliament.mn,,,Mongolian People's Party,mongolian_people's_party,area/khentii,Khentii,State Great Khural,2016,,,http://www.parliament.mn/en/files/images/713-7864481.jpg,male
fdfa1c8b-4f8c-4685-b98d-3f9ee2e60134,Batbayaryn Undarmaa,Batbayaryn Undarmaa,,,,Mongolian People's Party,mongolian_people's_party,area/ulaanbaatar_—_songino_khairkhan,Ulaanbaatar — Songino Khairkhan,State Great Khural,2016,,,,
60b4d467-6a8e-4c03-a7a0-5f982916332f,Batjargalyn Batzorig,Batjargalyn Batzorig,,,,Mongolian People's Party,mongolian_people's_party,area/ulaanbaatar_—_bayanzürkh,Ulaanbaatar — Bayanzürkh,State Great Khural,2016,,,,
6512664b-8106-4dc8-a822-76d6d9810515,Batsükhiin Narankhüü,Batsukh NARANKHUU,narankhuu@parliament.mn,,,Mongolian Democratic Party,mongolian_democratic_party,area/dundgovi,Dundgovi,State Great Khural,2016,,,http://www.parliament.mn/en/files/images/943-7864481.jpg,
9fbbfd97-6c99-41a7-ac7d-4b9eaf3fb307,Batsükhiin Saranchimeg,Batsükhiin Saranchimeg,,,,Mongolian People's Party,mongolian_people's_party,area/ulaanbaatar_—_bayanzürkh,Ulaanbaatar — Bayanzürkh,State Great Khural,2016,,,,
63d33048-8f25-4674-b96d-6df3c6d3ef6b,Battogtokhyn Choijilsüren,Battogtokh CHOIJILSUREN,choijilsuren@parliament.mn,,,Mongolian People's Party,mongolian_people's_party,area/uvs,Uvs,State Great Khural,2016,,,http://www.parliament.mn/en/files/images/1074-7864481.jpg,
c63c5407-bdd9-47ff-bbd1-d6e9accf76d5,Boldyn Javkhlan,Boldyn Javkhlan,,,,Mongolian People's Party,mongolian_people's_party,area/darkhan-uul,Darkhan-Uul,State Great Khural,2016,,,,
