id,uuid
achaabi,a9e91c88-4fc8-43be-aa14-593643916e15
aoubarka,e8e9c071-2475-42f2-b5f4-93ccea005970
ahilali,7117ddf4-b828-4b5d-a26e-189ced42c744
ajanaah,770aa8cb-6ff5-43e1-a26a-8097ac06a3a8
achafik,80cdbd91-c9f2-47f8-822e-f3c5ebf86430
atattou,ab5fd9d6-eb8c-487b-8ae2-809ba0336834
bchkili,75aecafe-fa16-4de5-9c60-4bcf0e128369
htabi,a4a1f366-e075-4252-99b8-c750dd858613
hharrami,d3e1ebcd-df76-4806-ad8a-a0082be6570c
ksbia,487e7a62-c13c-477f-81ec-17a0fb816039
mwalhan,7459294b-f506-439c-9f50-16ad446c8f48
melmyry,51d219e0-5913-44f4-b316-10d3cf5681da
rhamouni,7cc2d758-e887-43c4-884e-bfac32b2ad80
rnassiri,e6b4351d-2d43-4880-9f31-75d4dd00a8be
sdor,9f7bae9d-3a27-4b08-a27e-826374f11d53
