id,name__pl,name__en,name__de,name__fr,name,wikipedia__pl,gender,birth_date,given_name,original_wikiname,name__pt,name__nl,name__eo,name__et,name__it,wikipedia__commons,wikipedia__en,wikipedia__et,wikipedia__fr,wikipedia__pt,image,identifier__VIAF,name__es,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pt_br,wikipedia__de,identifier__freebase,identifier__EuroparlMEP,wikipedia__plwikiquote,name__de_ch,name__sk,wikipedia__sk,identifier__NUKAT,name__lt,wikipedia__lt,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__eu,name__fi,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,name__ru,wikipedia__es,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__uk,name__fa,name__zh,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__ro,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__zh,wikipedia__eo,identifier__LCAuth,name__mg,wikipedia__ca,wikipedia__mg,wikipedia__nl,wikipedia__tr,website,identifier__FIFA,name__ka,name__be,name__bg,name__vi,name__la,name__ie,name__szl,name__ko,name__el,name__io,name__hy,name__ja,name__mk,name__sr,name__mr,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__el,wikipedia__hu,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__mr,wikipedia__no,wikipedia__simple,wikipedia__szl,wikipedia__vi,wikipedia__eu,wikipedia__gl,name__ksh,wikipedia__ksh,name__oc,identifier__GND,name__he,name__sr_el,name__sr_ec,name__be_tarask,name__th,wikipedia__be_x_old,wikipedia__he,wikipedia__sr,wikipedia__th,identifier__NKC,facebook,wikipedia__sl,wikipedia__oc,twitter,name__id,wikipedia__dewikiquote,wikipedia__id,wikipedia__itwikiquote,wikipedia__ukwikiquote,identifier__NTA,identifier__GTAA,name__csb,wikipedia__csb,name__az,name__hsb,name__lv,name__ms,name__sh,name__uz,name__yo,name__yue,name__ar,wikipedia__ar,wikipedia__az,wikipedia__br,wikipedia__hr,wikipedia__hsb,wikipedia__lv,wikipedia__ms,wikipedia__nn,wikipedia__sco,wikipedia__sh,wikipedia__uz,wikipedia__yo,wikipedia__zh_yue,name__mwl,wikipedia__mwl,identifier__NLP,wikipedia__af,wikipedia__mk,family_name,identifier__Munzinger,name__fo,wikipedia__fo,name__hi,name__kk,wikipedia__ast,wikipedia__kk,name__dsb,name__ht,name__qu,name__zh_cn,name__mn,name__ta,name__crh_latn,name__ne,wikipedia__crh,wikipedia__cy,wikipedia__dsb,wikipedia__enwikiquote,wikipedia__ht,wikipedia__hy,wikipedia__lmo,wikipedia__mn,wikipedia__qu,wikipedia__scn,death_date,name__sgs,wikipedia__bat_smg,identifier__AlloCine,name__ia,name__na,name__os,name__zh_tw,name__zh_sg,name__zh_mo,name__zh_my,name__kaa,wikipedia__an,wikipedia__eowikiquote,wikipedia__ia,wikipedia__kaa,wikipedia__na,wikipedia__os,identifier__LNB,name__tl,wikipedia__tl,name__fy,wikipedia__fy,wikipedia__bgwikiquote,name__vo,wikipedia__vo,name__cv,name__jv,name__mrj,name__sah,name__se,name__tt,name__nan,name__ckb,wikipedia__ckb,wikipedia__cv,wikipedia__fur,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__jv,wikipedia__ltwikiquote,wikipedia__mrj,wikipedia__nds,wikipedia__plwikisource,wikipedia__sah,wikipedia__se,wikipedia__sq,wikipedia__ta,wikipedia__tt,wikipedia__zh_min_nan,identifier__PTBNP,identifier__parlement,identifier__NDL,identifier__NLA,identifier__NLI,identifier__BNE,identifier__BAV,name__diq,wikipedia__bs,name__simple,name__mo,wikipedia__mo,identifier__catholic_hierarchy,wikipedia__xmf,name__xmf,name__bm,name__de_at,name__frc,name__frp,name__jam,name__kab,name__kg,name__min,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__wo,name__zu,identifier__IIAF,identifier__MusicBrainz,identifier__discogs,identifier__MGP,identifier__allmovie,identifier__OLID,identifier__SFDb,identifier__NNDB,identifier__FAST,identifier__CSPAN,identifier__moviemeter,last_seen,wikipedia__ba,identifier__Britannica,name__ba,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__dialnet,identifier__senate_nl,identifier__PACE,wikipedia__bn,name__bn,name__pdc,name__stq,name__war,identifier__wikitree,identifier__bigenc_ru,identifier__google_knowledge
Q1029314,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,male,1961-02-28,Jan,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Posel-cedzynski-jan-2013-11m.jpg,,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,,,,Jan Cedzyński,,,,,Jan Cedzyński,,,Jan Cedzyński,,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,Jan Cedzyński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1030376,Witold Sitarz,Witold Sitarz,Witold Sitarz,Witold Sitarz,Witold Sitarz,Witold Sitarz,male,1945-08-12,Witold,Witold Sitarz,,Witold Sitarz,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Witold_Sitarz_Kancelaria_Senatu.jpg,,,Witold Sitarz,Witold Sitarz,Witold Sitarz,Witold Sitarz,,,,Witold Sitarz,,,Witold Sitarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1058052,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,male,1960-04-26,Cezary,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,,,,,Cezary Grabarczyk,,Cezary Grabarczyk,Cezary Grabarczyk,https://upload.wikimedia.org/wikipedia/commons/0/0d/Cezary_Grabarczyk_Sejm_2016b.jpg,307175067,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,Cezary Grabarczyk,,,,Cezary Grabarczyk,/m/0f6rjq,,Cezary Grabarczyk,,,,,Cezary Grabarczyk,Cezary Grabarczyk,,,,,,,,,,,,,,,,,,,Cezary Grabarczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1149606,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,male,1954-01-12,Czesław,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,,,,,,,,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,,,,Czesław Czechyra,,,,,Czesław Czechyra,,,Czesław Czechyra,,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,Czesław Czechyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685392,Alicja Chybicka,Alicja Chybicka,,Alicja Chybicka,Alicja Chybicka,Alicja Chybicka,female,1951-05-10,Alicja,Alicja Chybicka,,,,,,Category:Alicja Chybicka,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4b/Alicja_Chybicka_Kancelaria_Senatu.jpg,56011623,Alicja Chybicka,,,,,,,,,,,,,,,n94250230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 3622 6395,,,,,,,,,,,,,,,,,,,n2004124618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059787970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685399,Alicja Lis,Alicja Lis,,,Alicja Lis,Alicja Lis,female,1947-09-04,Alicja,Alicja Lis,,,,,Alicja Lis,,,,,,,,,,,,,,,,,,,Alicja Lis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685839,Andrzej Chrzanowski,,,,Andrzej Chrzanowski,Andrzej Chrzanowski (polityk),male,1948-04-29,Andrzej,Andrzej Chrzanowski (polityk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685912,Andrzej Janusz Zakrzewski,,,,Andrzej Janusz Zakrzewski,Andrzej Zakrzewski (1950–1996),male,1950-05-12,Andrzej,Andrzej Zakrzewski (1950–1996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685929,Andrzej Kern,,,,Andrzej Kern,Andrzej Kern,male,1937-05-18,Andrzej,Andrzej Kern,,,,,,Category:Andrzej Kern,,,,,,250617934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685985,Andrzej Malinowski,Andrzej Malinowski,Henryk Szlajfer,Andrzej Malinowski,Andrzej Malinowski,Andrzej Malinowski (polityk),male,1947-08-29,Andrzej,Andrzej Malinowski (polityk),,Andrzej Malinowski,,Andrzej Malinowski,,,,Andrzej Malinowski,,,,120303398,Henryk Szlajfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henryk Szlajfer,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 1992 6303,,109916840,,,,,,,,,,,,,,,,,n84022608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141052546,,,,,,,,,,,,,,,,,,,,069109168,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11179090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
